type,title,director,cast,release_year,rating,listed_in
0,4048,589,1524,2016,2,226
1,5187,1066,1362,2018,3,305
1,427,1066,4689,2018,3,449
0,2284,4047,5332,2021,1,314
0,446,3504,3468,2017,3,176
0,4347,2373,1241,2019,3,337
0,3932,3260,2240,2006,1,343
0,2727,1341,4374,2009,3,0
1,2998,1066,5167,2017,3,449
0,6079,2029,2641,2014,2,447
0,6549,3816,1939,2007,0,314
0,4312,620,566,2015,1,128
0,6299,1006,1287,2021,3,80
0,2861,3960,2340,2013,1,418
0,6971,2470,1362,2016,1,305
0,6821,3241,1611,2014,3,237
0,6345,1965,5437,2020,3,220
0,3414,1368,808,2007,3,369
0,2531,4160,2745,2020,3,259
0,5487,4153,4988,2021,1,128
0,7092,107,4155,2011,1,292
0,2233,4149,1646,2020,3,346
1,2593,1066,5335,2018,3,349
0,3958,1282,812,2019,3,1
1,558,1066,4360,2013,2,284
1,5362,1066,2367,2009,3,449
0,4934,2982,4363,2021,3,182
0,449,3922,2451,2011,2,314
0,3979,3058,3689,2012,2,165
1,5159,1066,1362,2015,1,305
0,3563,1973,43,2006,0,226
0,4579,1123,751,2006,0,220
0,3793,1066,1362,2007,3,428
0,6416,3826,5064,2018,3,305
0,185,2462,716,2018,3,80
0,1360,3666,3268,2021,1,57
0,1898,1777,2190,2017,3,191
1,1184,1066,4358,2014,2,305
0,2679,1199,2086,2019,3,401
0,4189,3953,1362,2013,3,275
0,5877,2437,2640,2009,0,68
0,264,2080,5604,2018,3,314
0,2805,2678,1362,2019,3,305
0,4591,338,843,2019,1,157
0,1839,955,1752,2018,3,306
0,1280,1920,3182,2015,2,314
1,3670,1066,1806,2021,3,451
1,1088,1066,4550,2021,3,275
0,4248,2996,1776,2020,3,118
0,5882,2833,3043,2021,3,369
1,5994,1066,1744,2020,1,128
1,326,1066,5364,2014,3,262
0,871,1197,3085,2018,3,200
1,436,1066,4866,2021,3,80
1,3369,1066,1362,2012,2,374
0,642,3669,3427,2019,1,314
0,5303,775,4873,2010,3,191
0,4343,3732,5540,2014,3,447
1,6633,1066,273,2018,3,382
0,7044,4184,1362,2019,1,128
1,3134,1066,2575,2018,3,402
0,6765,620,1362,2019,1,414
0,1965,853,4813,2008,2,61
1,3490,1066,1362,2017,1,127
1,1823,1066,1362,2021,1,414
0,472,3049,4620,2009,2,220
0,332,3246,4449,2020,3,226
1,3973,1066,1362,2015,1,127
1,3286,1066,1700,2019,3,314
1,1602,1066,255,2015,3,369
0,3744,3464,5367,2011,1,314
1,3318,1066,2037,2020,3,305
0,696,1029,3870,2013,3,314
0,4081,361,2631,2018,3,369
0,6699,261,1127,2015,3,400
0,1814,1994,4033,2017,3,305
0,3047,320,1374,2010,2,0
0,4968,1216,3411,2021,3,363
0,6212,3568,3236,2020,3,288
0,863,1300,1964,2017,3,314
0,1163,210,1880,2008,3,169
1,5063,1066,1362,2017,2,144
0,3137,3178,1920,2016,1,229
0,6187,1565,2704,2021,2,264
0,1326,2094,5395,2021,3,30
0,4232,1668,5099,2020,3,400
1,3740,1066,1516,2021,3,309
0,6496,2263,4205,2011,0,61
0,5637,23,23,2021,1,414
0,51,1066,3264,2018,1,386
0,2171,1250,3576,2014,0,0
0,4786,748,1362,2017,1,305
1,1198,1066,2881,2009,1,128
0,4427,2916,4466,2021,3,275
0,2518,2112,1543,2018,3,1
1,4559,1066,1362,2021,2,314
1,1643,1066,1778,2021,3,314
0,3707,4180,2646,2005,0,400
0,2393,743,1362,2019,1,414
1,3031,1066,111,2012,3,391
0,2947,3420,1362,2020,3,275
1,5000,1066,3410,2016,3,305
0,933,3837,1768,2006,3,430
1,2752,1066,3453,2012,2,284
0,2978,442,3322,2021,3,220
1,3156,1066,2658,2020,3,271
1,1476,1066,1362,2018,1,128
0,6735,274,909,2018,1,314
0,2728,1938,99,2012,0,220
0,5761,1645,1189,2021,3,0
1,2850,1066,2371,2020,3,400
0,18,559,3547,2019,0,13
0,2359,3422,5587,2021,3,49
0,2142,278,5410,2019,3,249
0,3089,1314,2337,2014,3,191
0,5523,2139,511,2021,3,233
0,4263,1437,4520,2020,3,237
0,5883,4147,5519,2018,3,0
0,697,3879,5163,2019,1,220
0,3471,2511,4583,2021,3,275
0,6978,614,1362,2011,2,314
1,3960,1066,1362,2014,1,127
0,170,1891,4907,2019,2,6
0,392,0,0,2021,1,0
0,4199,4054,4878,2021,3,314
1,6900,1066,4516,2009,2,275
0,4129,2054,4057,2021,2,276
1,3636,1066,914,2020,3,357
1,492,1066,5627,2020,3,309
1,20,1066,2006,2012,2,305
0,6792,609,1423,2017,3,32
0,5851,1069,1367,2007,1,128
0,409,1419,1382,2019,3,337
0,6388,402,1308,2020,3,334
0,6826,3581,3299,2018,3,314
0,630,1782,5486,2021,3,49
0,5073,3571,4637,2017,3,229
0,7014,2625,1200,2014,2,226
0,5083,1087,3996,2021,3,360
0,2699,3526,4663,2021,3,66
0,6658,145,3031,2012,2,255
0,990,4207,1690,2014,3,49
0,928,1340,4527,2018,3,437
1,814,1066,1362,2013,1,128
0,2140,2157,3030,2019,3,304
0,1759,2552,1607,2006,0,369
1,3851,1066,3724,2019,2,220
0,6350,459,1362,2018,3,275
0,6393,2884,2402,2005,0,314
1,2144,1066,5310,2020,2,369
0,6896,1152,1499,2021,2,49
1,5172,1066,4892,2018,3,314
0,1926,653,4068,2019,3,226
0,3565,2251,3011,2015,3,275
